,Year_sold,PARCEL,SequenceNum,SaleDate,SalePrice,PrPerSqFt,p_Cat,SQFT,YEAR,GARAGE,GARAGECAPA,POOLAREA,MAIN,CONTROL,ACTUAL,LASTACTION,Map,GISACRES,LON,LAT,URL,URL2,ZIP
9785,2019,114211730,20190170074,201901,245000,143.442623,14,1708,1983,3,3,0,214684,214684,231859,20071019,http://www.asr.pima.gov/ParcelData/Map/Arm/MP30/M30034_01.PDF,0.53919601,-110.7784528,32.28649637,www.tucsonaz.gov/pro/pdsd/parcel_search/114211730,http://gis.pima.gov/maps/detail.cfm?p=114211730,85749
9786,2019,114211730,20190170074,201901,245000,143.442623,14,1708,1983,3,3,0,214684,214684,231859,20071019,http://www.asr.pima.gov/ParcelData/Map/Arm/MP30/M30034_01.PDF,0.53919601,-110.7784528,32.28649637,www.tucsonaz.gov/pro/pdsd/parcel_search/114211730,http://gis.pima.gov/maps/detail.cfm?p=114211730,85749
9787,2019,114211730,20190170074,201901,245000,143.442623,14,1708,1983,3,3,0,214684,214684,231859,20071019,http://www.asr.pima.gov/ParcelData/Map/Arm/MP30/M30034_01.PDF,0.53919601,-110.7784528,32.28649637,www.tucsonaz.gov/pro/pdsd/parcel_search/114211730,http://gis.pima.gov/maps/detail.cfm?p=114211730,85749
9788,2019,114211730,20190170074,201901,245000,143.442623,14,1708,1983,3,3,0,214684,214684,231859,20071019,http://www.asr.pima.gov/ParcelData/Map/Arm/MP30/M30034_01.PDF,0.53919601,-110.7784528,32.28649637,www.tucsonaz.gov/pro/pdsd/parcel_search/114211730,http://gis.pima.gov/maps/detail.cfm?p=114211730,85749
9789,2019,114211500,20191410514,201904,392350,170.4387489,17,2302,1979,1,2,448,311389,311389,326958,20120925,http://www.asr.pima.gov/ParcelData/Map/Arm/MP25/M25007.PDF,0.97331202,-110.7852696,32.28451008,www.tucsonaz.gov/pro/pdsd/parcel_search/114211500,http://gis.pima.gov/maps/detail.cfm?p=114211500,85749
9790,2019,114211270,20191640672,201905,262000,148.7791028,14,1761,1976,3,2,0,228288,228288,239702,19870828,http://www.asr.pima.gov/ParcelData/Map/Arm/MP25/M25007_01.PDF,0.88598198,-110.7863631,32.28591057,www.tucsonaz.gov/pro/pdsd/parcel_search/114211270,http://gis.pima.gov/maps/detail.cfm?p=114211270,4276
9791,2019,114201520,20190510081,201901,289895,98.26949153,9,2950,1964,3,2,450,313010,313010,328661,20120925,http://www.asr.pima.gov/ParcelData/Map/Arm/MP15/15022.PDF,1.66568005,-110.8019282,32.2840717,www.tucsonaz.gov/pro/pdsd/parcel_search/114201520,http://gis.pima.gov/maps/detail.cfm?p=114201520,85716
9792,2019,114201360,20190980336,201904,257200,129.3112117,12,1989,1963,3,2,450,214933,214933,234277,20120814,http://www.asr.pima.gov/ParcelData/Map/Arm/MP15/15022_02.PDF,0.470074,-110.8006273,32.28912608,www.tucsonaz.gov/pro/pdsd/parcel_search/114201360,http://gis.pima.gov/maps/detail.cfm?p=114201360,85749
9793,2019,114201360,20190980336,201904,257200,129.3112117,12,1989,1963,3,2,450,214933,214933,234277,20120814,http://www.asr.pima.gov/ParcelData/Map/Arm/MP15/15022_02.PDF,0.470074,-110.8006273,32.28912608,www.tucsonaz.gov/pro/pdsd/parcel_search/114201360,http://gis.pima.gov/maps/detail.cfm?p=114201360,85749
9794,2019,114201360,20190980336,201904,257200,129.3112117,12,1989,1963,3,2,450,214933,214933,234277,20120814,http://www.asr.pima.gov/ParcelData/Map/Arm/MP15/15022_02.PDF,0.470074,-110.8006273,32.28912608,www.tucsonaz.gov/pro/pdsd/parcel_search/114201360,http://gis.pima.gov/maps/detail.cfm?p=114201360,85749
9795,2019,114201360,20190980336,201904,257200,129.3112117,12,1989,1963,3,2,450,214933,214933,234277,20120814,http://www.asr.pima.gov/ParcelData/Map/Arm/MP15/15022_02.PDF,0.470074,-110.8006273,32.28912608,www.tucsonaz.gov/pro/pdsd/parcel_search/114201360,http://gis.pima.gov/maps/detail.cfm?p=114201360,85749
